year,sector_code,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2010,16030,DPGC_X,0.934502,0.752528283449,,,,,,
2011,16030,DPGC_X,1.579348,0.90460580164,0.934502,0.752528283449,0.152077518191,3.93500033532406,1.12401928565981,6.74598138498831
2012,16030,DPGC_X,0.669818,1.30633984103,1.579348,0.90460580164,0.40173403939,4.04783617465057,1.24485210807552,6.85082024122562
2013,16030,DPGC_X,0.847743,1.83407007115,0.669818,1.30633984103,0.52773023012,3.97402332799071,1.17601812370271,6.7720285322787
2014,16030,DPGC_X,2.142639,1.17393520787,0.847743,1.83407007115,-0.66013486328,4.01507740958195,1.22162237989573,6.80853243926817
2015,16030,DPGC_X,2.081957,1.64544277927,2.142639,1.17393520787,0.4715075714,4.20625637814382,1.41695119284569,6.99556156344195
2016,16030,DPGC_X,0.541555,1.35326245032,2.081957,1.64544277927,-0.29218032895,4.22364172671761,1.4357348306991,7.01154862273612
2017,16030,DPGC_X,3.573156,0.450835,0.541555,1.35326245032,-0.90242745032,4.05030086438913,1.26055703560684,6.84004469317142
2018,16030,DPGC_X,1.412775,1.309893144215,3.573156,0.450835,0.859058144215,4.4579651648026,1.66907457254589,7.24685575705932
2019,16030,DPGC_X,0.973135,0.482136875696,1.412775,1.309893144215,-0.827756268519,4.21282491722778,1.41951734344594,7.00613249100962
2020,16030,DPGC_X,0.197557,0.1657116385,0.973135,0.482136875696,-0.316425237196,4.18093324135725,1.38245576339356,6.97941071932094
2021,16030,DPGC_X,0.076151,0,0.197557,0.1657116385,-0.1657116385,4.11153341816661,1.3058713238387,6.91719551249451
2022,16030,DPGC_X,0.577887,0,0.076151,0,0,4.12449722884235,1.31111577385385,6.93787868383085
2023,16030,DPGC_X,4.21361663456221,0,0.577887,0,0,4.21361663456221,1.39205363172106,7.03517963740335
2010,16040,DPGC_X,1.49812,0.46863749542,,,,,,
2011,16040,DPGC_X,7.444957,3.63724061148,1.49812,0.46863749542,3.16860311606,4.41140488082453,1.6004686169719,7.22234114467715
2012,16040,DPGC_X,15.167319,9.14437888721,7.444957,3.63724061148,5.50713827573,5.25168192028995,2.44646401362389,8.05689982695601
2013,16040,DPGC_X,4.759701,3.33354441805,15.167319,9.14437888721,-5.81083446916,6.14455789392079,3.32473548232074,8.96438030552084
2014,16040,DPGC_X,11.964046,8.23729673236283,4.759701,3.33354441805,4.90375231431283,4.96708366308408,2.17452714580008,7.75964018036807
2015,16040,DPGC_X,11.180814,7.8604856447142,11.964046,8.23729673236283,-0.376811087648634,5.87651491614376,3.07626430691536,8.67676552537217
2016,16040,DPGC_X,7.130972,4.85995955984,11.180814,7.8604856447142,-3.0005260848742,5.76386241463088,2.96763048271569,8.56009434654606
2017,16040,DPGC_X,3.241876,3.17490334117,7.130972,4.85995955984,-1.68505621867,5.26775667934705,2.47932220177922,8.05619115691487
2018,16040,DPGC_X,0.320679,4.064668526475,3.241876,3.17490334117,0.889765185305,4.83238123632027,2.04350795190874,7.62125452073181
2019,16040,DPGC_X,3.317305,6.14048261649,0.320679,4.064668526475,2.075814090015,4.53797987118708,1.74267849675671,7.33328124561745
2020,16040,DPGC_X,4.781165,9.285006450272,3.317305,6.14048261649,3.144523833782,4.98187271615363,2.18444291613355,7.77930251617371
2021,16040,DPGC_X,17.096286,9.37355604936,4.781165,9.285006450272,0.088549599088001,5.19616695618655,2.39285267304884,7.99948123932427
2022,16040,DPGC_X,12.324625,3.32075763996,17.096286,9.37355604936,-6.0527984094,6.63231266466164,3.79327433758,9.47135099174328
2023,16040,DPGC_X,6.08187964730188,4.33004318529,12.324625,3.32075763996,1.00928554533,6.08187964730188,3.25306515995457,8.91069413464918
2010,16030,MNG,0.514726,-2.228909e-06,,,,,,
2011,16030,MNG,0.206115,0,0.514726,-2.228909e-06,2.228909e-06,1.20637523735559,-1.6032839577964,4.01603443250757
2012,16030,MNG,0.086414,0,0.206115,0,0,1.19692831701943,-1.60536019922224,3.9992168332611
2013,16030,MNG,0.314219,0,0.086414,0,0,1.21045940690238,-1.58593703908237,4.00685585288713
2014,16030,MNG,0.864204,3.00870833,0.314219,0,3.00870833,1.31103789484364,-1.48069684466325,4.10277263435052
2015,16030,MNG,0.227803,0.30680144,0.864204,3.00870833,-2.70190689,1.37234788000917,-1.41668963233739,4.16138539235573
2016,16030,MNG,0.876746,3.15801655,0.227803,0.30680144,2.85121511,1.35959694843696,-1.4276839841273,4.14687788100122
2017,16030,MNG,1.169358,1.91086648,0.876746,3.15801655,-1.24715007,1.45425276320167,-1.33292780734581,4.24143333374916
2018,16030,MNG,1.510812,5.57822057,1.169358,1.91086648,3.66735409,1.5698081000699,-1.21902628586064,4.35864248600044
2019,16030,MNG,6.083606,22.7827401,1.510812,5.57822057,17.20451953,1.90345124320552,-0.903187184976668,4.7100896713877
2020,16030,MNG,4.262419,15.23023966,6.083606,22.7827401,-7.55250044,2.41271351585896,-0.401975911975241,5.22740294369316
2021,16030,MNG,5.319499,14.74778999,4.262419,15.23023966,-0.482449670000001,2.19570203728343,-0.614580767937547,5.0059848425044
2022,16030,MNG,8.32892,17.15465047,5.319499,14.74778999,2.40686048,2.38714407454761,-0.43296121207734,5.20724936117257
2023,16030,MNG,2.73114972226556,13.43479976,8.32892,17.15465047,-3.71985071,2.73114972226556,-0.103458167259395,5.56575761179051
2010,16040,MNG,0.013245,0,,,,,,
2011,16040,MNG,0.079026,0,0.013245,0,0,1.51317352062647,-1.29669366879609,4.32304071004904
2012,16040,MNG,0,0,0.079026,0,0,1.54926566174722,-1.25322084122469,4.35175216471913
2013,16040,MNG,0,0,0,0,0,1.5677442438887,-1.22887278488679,4.3643612726642
2014,16040,MNG,0,0,0,0,0,1.5958351314567,-1.19636497482041,4.3880352377338
2015,16040,MNG,0.009976,0,0,0,0,1.62392601902468,-1.16534067789951,4.41319271594887
