year,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2018,A7_X,0.277482,0.0990073713599,,,,,,
2019,A7_X,3.511281,0.5467355295732,0.277482,0.0990073713599,0.4477281582133,-15.9018397059709,-23.6806485382458,-8.12303087369602
2020,A7_X,8.762625,0.00337807128,3.511281,0.5467355295732,-0.5433574582932,-6.49495542869432,-14.2495883345599,1.25967747717125
2021,A7_X,7.885412,0.0462789477225,8.762625,0.00337807128,0.0429008764425,8.7412411185264,1.00348230779234,16.4789999292605
2022,A7_X,7.145963,0.52108764275,7.885412,0.0462789477225,0.4748086950275,6.02252703630025,-1.70665681286957,13.7517108854701
2023,A7_X,3.3402428850946,1.6520623345,7.145963,0.52108764275,1.13097469175,3.3402428850946,-4.35955580764759,11.0400415778368
2018,ARG,1.447103,21.67788057004,,,,,,
2019,ARG,1.514689,45.1702563115918,1.447103,21.67788057004,23.4923757415518,-35.0860597594573,-44.46709582732,-25.7050236915947
2020,ARG,1.562012,50.155825528768,1.514689,45.1702563115918,4.98556921717626,-42.6636469833301,-52.9606957432457,-32.3665982234145
2021,ARG,2.659368,49.1865889018398,1.562012,50.155825528768,-0.9692366269282,-43.3965670793891,-53.9798846446712,-32.8132495141069
2022,ARG,5.510801,98.58128771287,2.659368,49.1865889018398,49.3946988110302,-59.0071245306776,-74.7305611390189,-43.2836879223364
2023,ARG,-85.3558541730432,156.39204,5.510801,98.58128771287,57.81075228713,-85.3558541730432,-109.527881356061,-61.1838269900251
2018,ARM,6.821606,1.25603,,,,,,
2019,ARM,10.816296,0.0509895037777465,6.821606,1.25603,-1.20504049622225,2.83960462248687,-4.88259853030532,10.5618077752791
2020,ARM,4.876125,22.928886826213,10.816296,0.0509895037777465,22.8778973224353,5.8343167907009,-2.47339179485481,14.1420253762566
2021,ARM,23.946974,0.0234381436848028,4.876125,22.928886826213,-22.9054486825282,-8.15030668986476,-16.6835509327284,0.382937552998911
2022,ARM,26.113525,0.4325705,23.946974,0.0234381436848028,0.409132356315197,52.2995697813716,44.5260840094099,60.0730555533332
2023,ARM,58.1105636557146,1.27448,26.113525,0.4325705,0.8419095,58.1105636557146,50.3461019687258,65.8750253427034
2018,DPGC_X,296.348942,48.0905837690537,,,,,,
2019,DPGC_X,387.855168,21.1260524051695,296.348942,48.0905837690537,-26.9645313638842,816.536969173368,793.252929079802,839.821009266933
2020,DPGC_X,1314.846397,41.280837823787,387.855168,21.1260524051695,20.1547854186175,1078.92209458373,1049.39346893526,1108.4507202322
2021,DPGC_X,2138.202829,52.3527942975605,1314.846397,41.280837823787,11.0719564737735,3738.21855421967,3637.6125208265,3838.82458761285
2022,DPGC_X,7684.087435,51.42943102276,2138.202829,52.3527942975605,-0.923363274800508,6106.05576649843,5941.40396764449,6270.70756535237
2023,DPGC_X,22047.5014793419,113.840823536142,7684.087435,51.42943102276,62.4113925133816,22047.5014793419,21450.7753741531,22644.2275845307
2018,GTM,5.491943,8.3905100243,,,,,,
2019,GTM,2.987525,5.90665316197775,5.491943,8.3905100243,-2.48385686232225,-5.01950902141157,-12.588449204958,2.5494311621349
2020,GTM,5.81356,6.80947496230401,2.987525,5.90665316197775,0.902821800326268,-11.957719146539,-19.5405313716997,-4.37490692137834
2021,GTM,7.221401,10.0543239703348,5.81356,6.80947496230401,3.24484900803079,-5.29608470971748,-12.8386960266181,2.24652660718316
2022,GTM,5.128983,11.47055206509,7.221401,10.0543239703348,1.4162280947552,-2.5968143370493,-10.1128018856108,4.91917321151225
2023,GTM,-6.72204382315983,5.62149155898,5.128983,11.47055206509,-5.84906050611,-6.72204382315983,-14.3443282656968,0.900240619377092
2018,IND,133.843878,44.6318876431592,,,,,,
2019,IND,16.021444,158.026548337192,133.843878,44.6318876431592,113.394660694033,296.896289570456,271.328632688203,322.463946452709
2020,IND,91.842333,63.0681010574578,16.021444,158.026548337192,-94.9584472797346,-33.990945801386,-60.2433580320944,-7.73853357067765
2021,IND,14.741666,34.382911755631,91.842333,63.0681010574578,-28.6851893018268,218.978713505178,206.601401130951,231.356025879406
2022,IND,10.447326,14.1195350574446,14.741666,34.382911755631,-20.2633766981864,11.970985239663,3.25331693705845,20.6886535422675
2023,IND,-164.406200350891,453.381872578257,10.447326,14.1195350574446,439.262337520812,-164.406200350891,-245.607640940951,-83.2047597608297
2018,KEN,32.474098,18.053826896231,,,,,,
2019,KEN,38.795987,14.5993526910408,32.474098,18.053826896231,-3.45447420519022,66.9021329926392,59.2526173007521,74.5516486845264
2020,KEN,119.598129,26.1340901543036,38.795987,14.5993526910408,11.5347374632628,81.5225051112694,73.5904222508008,89.454587971738
2021,KEN,15.778752,20.2452169535534,119.598129,26.1340901543036,-5.88887320075022,313.524529177625,302.572714112859,324.476344242391
2022,KEN,20.236632,52.9006130174402,15.778752,20.2452169535534,32.6553960638868,3.55292331302432,-6.54174797727248,13.6475946033211
2023,KEN,24.5291901838638,10.6031878678598,20.236632,52.9006130174402,-42.2974251495804,24.5291901838638,13.2902223642777,35.7681580034499
2018,MDA,1.400233,0.012294559035,,,,,,
2019,MDA,1.077504,0.0348543037777465,1.400233,0.012294559035,0.0225597447427465,-12.4510975896478,-20.2319187461706,-4.67027643312495
2020,MDA,0.348797,0.00089757430201409,1.077504,0.0348543037777465,-0.0339567294757324,-13.3727065751894,-21.1566686543295,-5.58874449604935
2021,MDA,0.454795,0.0176026418398028,0.348797,0.00089757430201409,0.0167050675377887,-15.4684435333646,-23.259452518581,-7.6774345481482
2022,MDA,13.573337,12.5931772548,0.454795,0.0176026418398028,12.5755746129602,-20.007559930916,-27.8674215211445,-12.1476983406874
2023,MDA,15.4575612060958,10.427918172575,13.573337,12.5931772548,-2.165259082225,15.4575612060958,7.95454998140764,22.9605724307841
2018,PER,85.759108,1.42682647852056,,,,,,
