recipient_code,recipient_iso3_code,recipient_name
625,AFG,Afghanistan
225,AGO,Angola
71,ALB,Albania
425,ARG,Argentina
610,ARM,Armenia
377,ATG,Antigua and Barbuda
611,AZE,Azerbaijan
228,BDI,Burundi
236,BEN,Benin
287,BFA,Burkina Faso
666,BGD,Bangladesh
64,BIH,Bosnia and Herzegovina
86,BLR,Belarus
352,BLZ,Belize
428,BOL,Bolivia
431,BRA,Brazil
630,BTN,Bhutan
227,BWA,Botswana
231,CAF,Central African Republic
301,CAN,Canada
730,CHN,China (People's Republic of)
247,CIV,Côte d'Ivoire
229,CMR,Cameroon
235,COD,Democratic Republic of the Congo
234,COG,Congo
437,COL,Colombia
233,COM,Comoros
230,CPV,Cabo Verde
336,CRI,Costa Rica
338,CUB,Cuba
274,DJI,Djibouti
378,DMA,Dominica
340,DOM,Dominican Republic
130,DZA,Algeria
440,ECU,Ecuador
142,EGY,Egypt
271,ERI,Eritrea
238,ETH,Ethiopia
832,FJI,Fiji
860,FSM,Micronesia
239,GAB,Gabon
612,GEO,Georgia
241,GHA,Ghana
243,GIN,Guinea
240,GMB,Gambia
244,GNB,Guinea-Bissau
245,GNQ,Equatorial Guinea
381,GRD,Grenada
347,GTM,Guatemala
446,GUY,Guyana
351,HND,Honduras
349,HTI,Haiti
738,IDN,Indonesia
645,IND,India
540,IRN,Iran
543,IRQ,Iraq
354,JAM,Jamaica
549,JOR,Jordan
613,KAZ,Kazakhstan
248,KEN,Kenya
614,KGZ,Kyrgyzstan
728,KHM,Cambodia
836,KIR,Kiribati
745,LAO,Lao People's Democratic Republic
555,LBN,Lebanon
251,LBR,Liberia
133,LBY,Libya
383,LCA,Saint Lucia
640,LKA,Sri Lanka
249,LSO,Lesotho
136,MAR,Morocco
93,MDA,Moldova
252,MDG,Madagascar
655,MDV,Maldives
358,MEX,Mexico
859,MHL,Marshall Islands
66,MKD,North Macedonia
255,MLI,Mali
635,MMR,Myanmar
65,MNE,Montenegro
753,MNG,Mongolia
259,MOZ,Mozambique
256,MRT,Mauritania
385,MSR,Montserrat
257,MUS,Mauritius
253,MWI,Malawi
751,MYS,Malaysia
275,NAM,Namibia
260,NER,Niger
261,NGA,Nigeria
364,NIC,Nicaragua
856,NIU,Niue
660,NPL,Nepal
845,NRU,Nauru
665,PAK,Pakistan
366,PAN,Panama
454,PER,Peru
755,PHL,Philippines
861,PLW,Palau
862,PNG,Papua New Guinea
740,PRK,Democratic People's Republic of Korea
451,PRY,Paraguay
550,PSE,West Bank and Gaza Strip
266,RWA,Rwanda
278,SDN,Sudan
269,SEN,Senegal
276,SHN,Saint Helena
866,SLB,Solomon Islands
272,SLE,Sierra Leone
342,SLV,El Salvador
273,SOM,Somalia
63,SRB,Serbia
279,SSD,South Sudan
268,STP,Sao Tome and Principe
457,SUR,Suriname
280,SWZ,Eswatini
573,SYR,Syrian Arab Republic
232,TCD,Chad
283,TGO,Togo
764,THA,Thailand
615,TJK,Tajikistan
868,TKL,Tokelau
616,TKM,Turkmenistan
765,TLS,Timor-Leste
870,TON,Tonga
139,TUN,Tunisia
55,TUR,Türkiye
872,TUV,Tuvalu
282,TZA,Tanzania
285,UGA,Uganda
85,UKR,Ukraine
617,UZB,Uzbekistan
384,VCT,Saint Vincent and the Grenadines
463,VEN,Venezuela
769,VNM,Viet Nam
854,VUT,Vanuatu
876,WLF,Wallis and Futuna
880,WSM,Samoa
57,XKX,Kosovo
580,YEM,Yemen
218,ZAF,South Africa
288,ZMB,Zambia
265,ZWE,Zimbabwe
329,BRB,Barbados
434,CHL,Chile
62,HRV,Croatia
258,MYT,Mayotte
270,SYC,Seychelles
375,TTO,Trinidad and Tobago
460,URY,Uruguay
57,XKV,Kosovo
72,BGR,Bulgaria
530,BHR,Bahrain
328,BHS,Bahamas
831,COK,Cook Islands
68,CZE,Czechia
,ESH,Western Sahara
12,GBR,United Kingdom
75,HUN,Hungary
546,ISR,Israel
6,ITA,Italy
382,KNA,Saint Kitts and Nevis
84,LTU,Lithuania
858,MNP,MNP
558,OMN,Oman
76,POL,Poland
77,ROU,Romania
87,RUS,Russia
566,SAU,Saudi Arabia
69,SVK,Slovak Republic
61,SVN,Slovenia
