recipient_code,recipient_iso3_code,recipient_name
498,A_X,"America, regional"
88,SFRY_X,States Ex-Yugoslavia unspecified
589,F97_X,"Middle East, regional"
298,F_X,"Africa, regional"
679,S7_X,"South Asia, regional"
89,E_X,"Europe, regional"
189,F4_X,"North of Sahara, regional"
489,A7_X,"South America, regional"
289,F6_X,"South of Sahara, regional"
389,A5_X,"Caribbean & Central America, regional"
689,S4_S7_X,"South & Central Asia, regional"
1031,A4_X,"Caribbean, regional"
798,S_X,"Asia, regional"
619,S4_X,"Central Asia, regional"
789,S97_X,"Far East Asia, regional"
1030,F8_X,"Western Africa, regional"
1032,A3_X,"Central America, regional"
998,DPGC_X,"Bilateral, unspecified"
380,A5_X,"Caribbean & Central America, regional"
889,O_X,"Oceania, regional"
1027,F3_X,"Eastern Africa, regional"
1028,F5_X,"Middle Africa, regional"
1029,F7_X,"Southern Africa, regional"
