donor.name,alpha,beta,adj.r.squared,n
Denmark,0.00191062870680813,0.988774216426759,0.999719574353042,5
France,-1.86175854439643,1.02600986662994,0.992870110035436,8
Germany,3.17600583283221,0.0762644115295572,-0.00945467685039292,107
Italy,0.00670898240151595,0.998533802847011,0.99940392805337,6
Netherlands,0.338487,,0,1
Norway,-0.000417907637335471,1.00047023957765,0.999999978194997,3
Sweden,-0.000276633238544102,1.0425112329089,0.832748058179802,203
Switzerland,4.07196955256358e-05,1.00107480683061,0.999999072882578,13
United Kingdom,0.0605025015293775,1.4351726637885,0.812147214198923,40
Finland,0.168259539702821,0.629206140319852,0.927083039187555,14
Ireland,-1.69051492600126e-05,0.99940161039597,0.999999032468786,8
Spain,0.030596442094686,0.870213600199935,0.745654886735101,4
Slovak Republic,0.05196570044706,-0.046099575892943,-0.327080136878804,5
Canada,0.0436612606254361,0.998302387781897,0.968667104879198,39
United States,2.88167384833449e-05,0.999654375517893,0.999999737139458,4
New Zealand,0.066936424491001,1.08533237343851,0.924282266522775,21
Inter-American Development Bank,3.39299380932394,0.000434319969937328,-0.0126451231618525,81
Asian Development Bank,0.871975049564022,0.049890783011463,0.125259484830413,36
EU Institutions,-0.00477149207129481,1.05237158923928,0.998176147812777,5
