donor.name,alpha,beta,adj.r.squared,n
Belgium,1.56826295837079,0.115005703482277,-0.00340397449539553,17
Denmark,-0.0981740494072769,0.993271532790517,0.985589202533476,17
France,7.2877311520316,0.852134958921369,0.468692096384841,20
Germany,1.8365855610691,0.319030267024414,0.477478654615315,132
Italy,0.327184410437567,0.951844681607879,0.513150508431957,32
Netherlands,-0.121873414090576,1.21049928640553,0.96155026260693,40
Norway,0.0157687786983464,0.995197509452421,0.998966404971537,49
Sweden,0.0027362831270614,1.30813388365724,0.771151675701989,203
Switzerland,0.155816245059101,1.10720547270556,0.627285984968458,48
United Kingdom,7.87883034485044,0.928802708290632,0.0529797113017527,126
Finland,-0.0298721329641974,1.0027567418251,0.997742720307,37
Ireland,0.0285524516051948,0.994667130220842,0.990796818952045,57
Spain,-0.0921590719193144,1.93671706332198,0.687958654245939,9
Slovak Republic,0.0036901932832938,0.720229244777525,0.489190946810286,7
Canada,1.190443451875,0.859678226289652,0.507614591579304,189
United States,0.121278610491279,0.957426657720558,0.970711597610581,197
Saudi Arabia,0.196589342986232,1.650616023802,0.625107432577848,12
United Arab Emirates,6.09,,0,1
Global Environment Facility,0.759743302820547,1.10689688213985,0.187488407669952,6
New Zealand,-0.0537891244486656,1.3587552127817,0.885064253207157,14
Inter-American Development Bank,0.678884902903688,-0.00072060694488824,-0.0476348430365454,21
African Development Bank,-8.10232509345392e-06,2.00022057355874,0.999999991348192,5
Asian Development Bank,0.29088530084651,0.0638053433712108,0.177638368654152,38
EU Institutions,7.41426171277171,-4.05777247084514,-0.0159453875963342,8
World Health Organisation,0.0312129191182354,0.85858516312115,0.261613402088059,96
UNDP,0.0786210406527319,0.00704062477173598,0.0397074529306223,18
Global Green Growth Institute,0.0184969691577224,0.341842794597955,0.223254069310876,3
